"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2021","89.00","89.00","89.00","89.00","0.00K","3.49%"
"01/06/2021","86.00","86.00","86.00","86.00","","0.17%"
"01/05/2021","85.85","85.85","85.85","85.85","","-0.58%"
"01/04/2021","86.35","86.35","86.35","86.35","","-4.43%"
"12/29/2020","90.35","90.35","90.35","90.35","","0.00%"
"12/28/2020","90.35","90.35","90.35","90.35","","0.00%"
"12/24/2020","90.35","90.35","90.35","90.35","","0.33%"
"12/23/2020","90.05","90.05","90.05","90.05","","0.06%"
"12/22/2020","90.00","90.00","90.00","90.00","","0.00%"
"12/21/2020","90.00","90.00","90.00","90.00","","0.00%"
"12/18/2020","90.00","90.00","90.00","90.00","","0.28%"
"12/17/2020","89.75","89.75","89.75","89.75","","-0.11%"
"12/16/2020","89.85","89.85","89.85","89.85","","0.00%"
"12/15/2020","89.85","89.85","89.85","89.85","","2.10%"
"12/14/2020","88.00","88.00","88.00","88.00","","0.69%"
"12/11/2020","87.40","87.40","87.40","87.40","0.02K","6.00%"
"12/10/2020","82.45","82.45","82.45","82.45","0.02K","2.49%"
"12/09/2020","80.45","80.45","80.45","80.45","","0.31%"
"12/08/2020","80.20","80.20","80.20","80.20","0.01K","-1.96%"
"12/07/2020","81.80","81.80","81.80","81.80","","-2.62%"
"12/04/2020","84.00","84.00","84.00","84.00","","-0.65%"
"12/03/2020","84.55","84.55","84.55","84.55","0.01K","-0.18%"
"12/02/2020","84.70","84.70","84.70","84.70","0.07K","0.77%"
"12/01/2020","84.05","84.05","84.05","84.05","","0.06%"
